TIME	EVM	EVMP	DVM	DVMP	SVM	SVMSVM_1
5.000000e-02	7.191005e-05	0.000000e+00	1.438201e-03	0.000000e+00	1.061094e+01	1.061094e+01
1.000000e-01	1.438212e-04	0.000000e+00	1.438223e-03	0.000000e+00	2.120427e+01	2.120427e+01
1.500000e-01	2.157045e-04	0.000000e+00	1.437667e-03	0.000000e+00	3.177995e+01	3.177995e+01
2.000000e-01	2.878489e-04	4.093903e-09	1.442889e-03	8.187805e-08	4.237816e+01	4.237816e+01
2.500000e-01	3.601980e-04	1.615696e-06	1.446983e-03	3.223353e-05	5.274260e+01	5.274260e+01
3.000000e-01	4.351664e-04	2.390391e-05	1.499895e-03	4.460121e-04	6.030653e+01	6.030653e+01
3.500000e-01	5.137468e-04	7.696342e-05	1.576917e-03	1.064451e-03	6.394473e+01	6.394473e+01
4.000000e-01	5.942086e-04	1.455637e-04	1.618692e-03	1.375504e-03	6.573147e+01	6.573147e+01
4.500000e-01	6.755857e-04	2.203355e-04	1.636811e-03	1.497727e-03	6.681301e+01	6.681301e+01
5.000000e-01	7.573872e-04	2.980014e-04	1.643774e-03	1.555018e-03	6.754797e+01	6.754797e+01
