  STRAIN   AVACS   MODE1
   0.000   4.142   1.000
   0.002   4.136   1.000
   0.004   4.131   1.000
   0.006   4.130   1.000
   0.008   4.133   1.000
   0.010   4.134   1.000
   0.012   4.118   1.000
   0.014   4.118   1.000
   0.016   4.112   1.000
   0.018   4.110   1.000
   0.020   4.109   1.000
   0.022   4.099   1.000
   0.024   4.088   1.000
   0.026   4.084   1.000
   0.028   4.072   1.000
   0.030   4.079   1.000
   0.032   4.085   1.000
   0.034   4.081   1.000
   0.036   4.081   1.000
   0.038   4.068   1.000
   0.040   4.068   1.000
   0.042   4.053   1.000
   0.044   4.047   1.000
   0.046   4.038   1.000
   0.048   4.012   1.000
   0.050   4.010   1.000
   0.052   4.011   1.000
   0.054   4.018   1.000
   0.056   4.010   1.000
   0.058   4.004   1.000
   0.060   4.000   1.000
   0.062   4.001   1.000
   0.064   3.997   1.000
   0.066   3.998   1.000
   0.068   3.993   1.000
   0.070   3.983   1.000
   0.072   3.982   1.000
   0.074   3.987   1.000
   0.076   3.986   1.000
   0.078   3.984   1.000
   0.080   3.981   1.000
   0.082   3.980   1.000
   0.084   3.981   1.000
   0.086   3.980   1.000
   0.088   3.985   1.000
   0.090   3.987   1.000
   0.092   3.987   1.000
   0.094   3.948   1.000
   0.096   3.947   1.000
   0.098   3.945   1.000
   0.100   3.949   1.000
   0.102   3.949   1.000
   0.104   3.947   1.000
   0.106   3.945   1.000
   0.108   3.938   1.000
   0.110   3.934   1.000
   0.112   3.929   1.000
   0.114   3.929   1.000
   0.116   3.928   1.000
   0.118   3.917   1.000
   0.120   3.925   1.000
   0.122   3.928   1.000
   0.124   3.921   1.000
   0.126   3.922   1.000
   0.128   3.923   1.000
   0.130   3.919   1.000
   0.132   3.919   1.000
   0.134   3.924   1.000
   0.136   3.912   1.000
   0.138   3.914   1.000
   0.140   3.919   1.000
   0.142   3.918   1.000
   0.144   3.921   1.000
   0.146   3.919   1.000
   0.148   3.921   1.000
   0.150   3.922   1.000
   0.152   3.922   1.000
   0.154   3.918   1.000
   0.156   3.917   1.000
   0.158   3.919   1.000
   0.160   3.905   1.000
   0.162   3.900   1.000
   0.164   3.897   1.000
   0.166   3.894   1.000
   0.168   3.883   1.000
   0.170   3.887   1.000
   0.172   3.899   1.000
   0.174   3.898   1.000
   0.176   3.898   1.000
   0.178   3.895   1.000
   0.180   3.896   1.000
