
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.481E+00   0.560E-01   0.292E+00
    2   0.276E-01   0.244E+00   0.403E-01
    3   0.267E-01   0.651E-01   0.178E-01
    4   0.503E-02   0.434E-01   0.794E-02
    5   0.265E-02   0.285E-01   0.405E-02
    6   0.193E-02   0.212E-01   0.319E-02
    7   0.157E-02   0.173E-01   0.259E-02
    8   0.136E-02   0.149E-01   0.226E-02
    9   0.122E-02   0.133E-01   0.203E-02
   10   0.112E-02   0.121E-01   0.185E-02
   11   0.103E-02   0.111E-01   0.170E-02
   12   0.946E-03   0.103E-01   0.157E-02
   13   0.873E-03   0.947E-02   0.145E-02
   14   0.806E-03   0.875E-02   0.134E-02
   15   0.745E-03   0.808E-02   0.124E-02
   16   0.688E-03   0.747E-02   0.114E-02
   17   0.636E-03   0.690E-02   0.105E-02
   18   0.831E-03   0.617E-02   0.657E-03
   19   0.520E-03   0.570E-02   0.861E-03
   20   0.690E-03   0.509E-02   0.538E-03
   21   0.429E-03   0.471E-02   0.710E-03
   22   0.569E-03   0.420E-02   0.444E-03
   23   0.569E-03   0.369E-02   0.306E-03
   24   0.528E-03   0.323E-02   0.230E-03
   25   0.473E-03   0.280E-02   0.183E-03
   26   0.416E-03   0.243E-02   0.150E-03
   27   0.364E-03   0.211E-02   0.126E-03
   28   0.316E-03   0.183E-02   0.108E-03
   29   0.275E-03   0.158E-02   0.922E-04
   30   0.238E-03   0.137E-02   0.798E-04
   31   0.206E-03   0.118E-02   0.695E-04
   32   0.178E-03   0.103E-02   0.601E-04
   33   0.154E-03   0.888E-03   0.516E-04

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.357E-02   0.158E-02   0.543E-02
    2   0.264E-02   0.547E-02   0.279E-02
    3   0.325E-03   0.216E-02   0.357E-03
    4   0.464E-03   0.831E-03   0.617E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.219E-02   0.265E-02   0.382E-02
    2   0.236E-02   0.405E-02   0.238E-02
    3   0.233E-03   0.185E-02   0.201E-03
    4   0.369E-03   0.561E-03   0.492E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.219E-02   0.250E-02   0.380E-02
    2   0.230E-02   0.399E-02   0.233E-02
    3   0.229E-03   0.179E-02   0.196E-03
    4   0.363E-03   0.462E-03   0.482E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.218E-02   0.245E-02   0.378E-02
    2   0.230E-02   0.397E-02   0.232E-02
    3   0.227E-03   0.177E-02   0.192E-03
    4   0.361E-03   0.405E-03   0.479E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.216E-02   0.243E-02   0.376E-02
    2   0.229E-02   0.394E-02   0.231E-02
    3   0.225E-03   0.176E-02   0.189E-03
    4   0.360E-03   0.375E-03   0.476E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.215E-02   0.241E-02   0.373E-02
    2   0.228E-02   0.392E-02   0.230E-02
    3   0.223E-03   0.175E-02   0.186E-03
    4   0.358E-03   0.359E-03   0.474E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.214E-02   0.239E-02   0.371E-02
    2   0.227E-02   0.389E-02   0.229E-02
    3   0.222E-03   0.174E-02   0.184E-03
    4   0.356E-03   0.350E-03   0.471E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.213E-02   0.237E-02   0.368E-02
    2   0.226E-02   0.387E-02   0.227E-02
    3   0.220E-03   0.174E-02   0.182E-03
    4   0.355E-03   0.345E-03   0.468E-03

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.212E-02   0.235E-02   0.366E-02
    2   0.225E-02   0.384E-02   0.226E-02
    3   0.219E-03   0.173E-02   0.180E-03
    4   0.353E-03   0.342E-03   0.466E-03

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.210E-02   0.234E-02   0.363E-02
    2   0.224E-02   0.382E-02   0.225E-02
    3   0.218E-03   0.172E-02   0.178E-03
    4   0.352E-03   0.339E-03   0.464E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.209E-02   0.232E-02   0.361E-02
    2   0.223E-02   0.379E-02   0.224E-02
    3   0.216E-03   0.171E-02   0.176E-03
    4   0.351E-03   0.336E-03   0.461E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.208E-02   0.231E-02   0.358E-02
    2   0.222E-02   0.377E-02   0.223E-02
    3   0.215E-03   0.170E-02   0.174E-03
    4   0.349E-03   0.334E-03   0.459E-03

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.207E-02   0.229E-02   0.356E-02
    2   0.221E-02   0.374E-02   0.221E-02
    3   0.213E-03   0.170E-02   0.172E-03
    4   0.348E-03   0.331E-03   0.457E-03

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.206E-02   0.228E-02   0.354E-02
    2   0.220E-02   0.372E-02   0.220E-02
    3   0.212E-03   0.169E-02   0.170E-03
    4   0.346E-03   0.328E-03   0.454E-03

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.205E-02   0.227E-02   0.351E-02
    2   0.219E-02   0.369E-02   0.219E-02
    3   0.210E-03   0.168E-02   0.168E-03
    4   0.345E-03   0.326E-03   0.452E-03

*******   STEP  17      *** NEFF=10 CALCULATION                
    1   0.204E-02   0.225E-02   0.349E-02
    2   0.218E-02   0.367E-02   0.218E-02
    3   0.209E-03   0.167E-02   0.166E-03
    4   0.344E-03   0.323E-03   0.450E-03

*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.203E-02   0.224E-02   0.347E-02
    2   0.217E-02   0.364E-02   0.217E-02
    3   0.207E-03   0.166E-02   0.164E-03
    4   0.342E-03   0.320E-03   0.448E-03

*******   STEP  19      *** NEFF=10 CALCULATION                
    1   0.202E-02   0.222E-02   0.345E-02
    2   0.216E-02   0.362E-02   0.216E-02
    3   0.206E-03   0.165E-02   0.162E-03
    4   0.341E-03   0.318E-03   0.445E-03

*******   STEP  20      *** NEFF=10 CALCULATION                
    1   0.200E-02   0.221E-02   0.342E-02
    2   0.215E-02   0.360E-02   0.215E-02
    3   0.205E-03   0.165E-02   0.161E-03
    4   0.339E-03   0.315E-03   0.443E-03

*******   STEP  21      *** NEFF=10 CALCULATION                
    1   0.199E-02   0.220E-02   0.340E-02
    2   0.214E-02   0.357E-02   0.213E-02
    3   0.203E-03   0.164E-02   0.159E-03
    4   0.338E-03   0.312E-03   0.441E-03

*******   STEP  22      *** NEFF=10 CALCULATION                
    1   0.198E-02   0.218E-02   0.338E-02
    2   0.214E-02   0.355E-02   0.212E-02
    3   0.202E-03   0.163E-02   0.157E-03
    4   0.337E-03   0.309E-03   0.439E-03

*******   STEP  23      *** NEFF=10 CALCULATION                
    1   0.197E-02   0.217E-02   0.336E-02
    2   0.213E-02   0.353E-02   0.211E-02
    3   0.200E-03   0.162E-02   0.155E-03
    4   0.336E-03   0.307E-03   0.437E-03

*******   STEP  24      *** NEFF=10 CALCULATION                
    1   0.196E-02   0.216E-02   0.334E-02
    2   0.212E-02   0.350E-02   0.210E-02
    3   0.199E-03   0.161E-02   0.153E-03
    4   0.334E-03   0.304E-03   0.435E-03

*******   STEP  25      *** NEFF=10 CALCULATION                
    1   0.195E-02   0.215E-02   0.331E-02
    2   0.211E-02   0.348E-02   0.209E-02
    3   0.198E-03   0.160E-02   0.151E-03
    4   0.333E-03   0.302E-03   0.433E-03

*******   STEP  26      *** NEFF=10 CALCULATION                
    1   0.194E-02   0.213E-02   0.329E-02
    2   0.176E-02   0.350E-02   0.257E-02
    3   0.355E-03   0.214E-02   0.290E-03
    4   0.304E-03   0.189E-03   0.402E-03

*******   STEP  27      *** NEFF=10 CALCULATION                
    1   0.196E-02   0.214E-02   0.303E-02
    2   0.161E-02   0.322E-02   0.239E-02
    3   0.342E-03   0.200E-02   0.286E-03
    4   0.279E-03   0.188E-03   0.370E-03

*******   STEP  28      *** NEFF=10 CALCULATION                
    1   0.195E-02   0.210E-02   0.304E-02
    2   0.161E-02   0.323E-02   0.238E-02
    3   0.339E-03   0.199E-02   0.283E-03
    4   0.280E-03   0.188E-03   0.370E-03

*******   STEP  29      *** NEFF=10 CALCULATION                
    1   0.194E-02   0.209E-02   0.302E-02
    2   0.161E-02   0.321E-02   0.237E-02
    3   0.339E-03   0.198E-02   0.282E-03
    4   0.279E-03   0.188E-03   0.368E-03

*******   STEP  30      *** NEFF=10 CALCULATION                
    1   0.194E-02   0.207E-02   0.300E-02
    2   0.160E-02   0.319E-02   0.236E-02
    3   0.338E-03   0.197E-02   0.282E-03
    4   0.277E-03   0.187E-03   0.366E-03

*******   STEP  31      *** NEFF=10 CALCULATION                
    1   0.193E-02   0.206E-02   0.298E-02
    2   0.159E-02   0.317E-02   0.235E-02
    3   0.338E-03   0.196E-02   0.282E-03
    4   0.276E-03   0.187E-03   0.364E-03

*******   STEP  32      *** NEFF=10 CALCULATION                
    1   0.192E-02   0.205E-02   0.296E-02
    2   0.159E-02   0.315E-02   0.233E-02
    3   0.337E-03   0.195E-02   0.282E-03
    4   0.275E-03   0.186E-03   0.362E-03

*******   STEP  33      *** NEFF=10 CALCULATION                
    1   0.191E-02   0.204E-02   0.294E-02
    2   0.158E-02   0.313E-02   0.232E-02
    3   0.336E-03   0.194E-02   0.281E-03
    4   0.274E-03   0.186E-03   0.361E-03

*******   STEP  34      *** NEFF=10 CALCULATION                
    1   0.190E-02   0.203E-02   0.293E-02
    2   0.157E-02   0.311E-02   0.231E-02
    3   0.336E-03   0.193E-02   0.281E-03
    4   0.273E-03   0.185E-03   0.359E-03

*******   STEP  35      *** NEFF=10 CALCULATION                
    1   0.189E-02   0.201E-02   0.291E-02
    2   0.157E-02   0.309E-02   0.230E-02
    3   0.335E-03   0.192E-02   0.281E-03
    4   0.272E-03   0.184E-03   0.357E-03

*******   STEP  36      *** NEFF=10 CALCULATION                
    1   0.188E-02   0.200E-02   0.289E-02
    2   0.156E-02   0.307E-02   0.229E-02
    3   0.334E-03   0.191E-02   0.280E-03
    4   0.270E-03   0.184E-03   0.355E-03

*******   STEP  37      *** NEFF=10 CALCULATION                
    1   0.187E-02   0.199E-02   0.287E-02
    2   0.155E-02   0.305E-02   0.228E-02
    3   0.334E-03   0.190E-02   0.280E-03
    4   0.269E-03   0.183E-03   0.354E-03

*******   STEP  38      *** NEFF=10 CALCULATION                
    1   0.186E-02   0.198E-02   0.285E-02
    2   0.155E-02   0.303E-02   0.227E-02
    3   0.333E-03   0.189E-02   0.280E-03
    4   0.268E-03   0.183E-03   0.352E-03

*******   STEP  39      *** NEFF=10 CALCULATION                
    1   0.185E-02   0.197E-02   0.284E-02
    2   0.154E-02   0.301E-02   0.225E-02
    3   0.332E-03   0.189E-02   0.280E-03
    4   0.267E-03   0.182E-03   0.350E-03

*******   STEP  40      *** NEFF=10 CALCULATION                
    1   0.184E-02   0.196E-02   0.282E-02
    2   0.153E-02   0.299E-02   0.224E-02
    3   0.332E-03   0.188E-02   0.279E-03
    4   0.266E-03   0.182E-03   0.349E-03

*******   STEP  41      *** NEFF=10 CALCULATION                
    1   0.184E-02   0.195E-02   0.280E-02
    2   0.153E-02   0.297E-02   0.223E-02
    3   0.331E-03   0.187E-02   0.279E-03
    4   0.265E-03   0.181E-03   0.347E-03

*******   STEP  42      *** NEFF=10 CALCULATION                
    1   0.183E-02   0.193E-02   0.279E-02
    2   0.152E-02   0.296E-02   0.222E-02
    3   0.331E-03   0.186E-02   0.279E-03
    4   0.264E-03   0.181E-03   0.345E-03

*******   STEP  43      *** NEFF=10 CALCULATION                
    1   0.182E-02   0.192E-02   0.277E-02
    2   0.152E-02   0.294E-02   0.221E-02
    3   0.330E-03   0.185E-02   0.278E-03
    4   0.263E-03   0.181E-03   0.344E-03

*******   STEP  44      *** NEFF=10 CALCULATION                
    1   0.181E-02   0.191E-02   0.275E-02
    2   0.151E-02   0.292E-02   0.220E-02
    3   0.329E-03   0.184E-02   0.278E-03
    4   0.262E-03   0.180E-03   0.342E-03

*******   STEP  45      *** NEFF=10 CALCULATION                
    1   0.180E-02   0.190E-02   0.274E-02
    2   0.150E-02   0.290E-02   0.219E-02
    3   0.704E-03   0.191E-02   0.277E-03
    4   0.652E-03   0.292E-03   0.701E-03

*******   STEP  46      *** NEFF=10 CALCULATION                
    1   0.178E-02   0.224E-02   0.246E-02
    2   0.150E-02   0.269E-02   0.217E-02
    3   0.664E-03   0.191E-02   0.412E-03
    4   0.567E-03   0.290E-03   0.600E-03

*******   STEP  47      *** NEFF=10 CALCULATION                
    1   0.179E-02   0.215E-02   0.244E-02
    2   0.145E-02   0.265E-02   0.211E-02
    3   0.655E-03   0.186E-02   0.381E-03
    4   0.564E-03   0.281E-03   0.598E-03

*******   STEP  48      *** NEFF=10 CALCULATION                
    1   0.178E-02   0.213E-02   0.244E-02
    2   0.146E-02   0.265E-02   0.211E-02
    3   0.656E-03   0.186E-02   0.382E-03
    4   0.565E-03   0.282E-03   0.599E-03

*******   STEP  49      *** NEFF=10 CALCULATION                
    1   0.177E-02   0.212E-02   0.243E-02
    2   0.145E-02   0.263E-02   0.210E-02
    3   0.652E-03   0.186E-02   0.384E-03
    4   0.560E-03   0.282E-03   0.593E-03

*******   STEP  50      *** NEFF=10 CALCULATION                
    1   0.176E-02   0.211E-02   0.241E-02
    2   0.145E-02   0.262E-02   0.209E-02
    3   0.649E-03   0.185E-02   0.384E-03
    4   0.557E-03   0.282E-03   0.589E-03

*******   STEP  51      *** NEFF=10 CALCULATION                
    1   0.175E-02   0.210E-02   0.240E-02
    2   0.144E-02   0.260E-02   0.208E-02
    3   0.647E-03   0.184E-02   0.384E-03
    4   0.554E-03   0.281E-03   0.585E-03

*******   STEP  52      *** NEFF=10 CALCULATION                
    1   0.175E-02   0.208E-02   0.238E-02
    2   0.143E-02   0.259E-02   0.207E-02
    3   0.644E-03   0.183E-02   0.385E-03
    4   0.550E-03   0.280E-03   0.581E-03

*******   STEP  53      *** NEFF=10 CALCULATION                
    1   0.174E-02   0.207E-02   0.237E-02
    2   0.143E-02   0.257E-02   0.206E-02
    3   0.641E-03   0.182E-02   0.385E-03
    4   0.547E-03   0.279E-03   0.578E-03

*******   STEP  54      *** NEFF=10 CALCULATION                
    1   0.173E-02   0.206E-02   0.236E-02
    2   0.142E-02   0.256E-02   0.205E-02
    3   0.639E-03   0.181E-02   0.385E-03
    4   0.543E-03   0.279E-03   0.574E-03

*******   STEP  55      *** NEFF=10 CALCULATION                
    1   0.172E-02   0.205E-02   0.234E-02
    2   0.142E-02   0.254E-02   0.204E-02
    3   0.636E-03   0.180E-02   0.386E-03
    4   0.540E-03   0.278E-03   0.570E-03

*******   STEP  56      *** NEFF=10 CALCULATION                
    1   0.172E-02   0.204E-02   0.233E-02
    2   0.141E-02   0.253E-02   0.203E-02
    3   0.634E-03   0.179E-02   0.386E-03
    4   0.537E-03   0.277E-03   0.566E-03

*******   STEP  57      *** NEFF=10 CALCULATION                
    1   0.171E-02   0.202E-02   0.232E-02
    2   0.140E-02   0.251E-02   0.202E-02
    3   0.631E-03   0.179E-02   0.386E-03
    4   0.534E-03   0.276E-03   0.562E-03

*******   STEP  58      *** NEFF=10 CALCULATION                
    1   0.170E-02   0.201E-02   0.230E-02
    2   0.140E-02   0.250E-02   0.201E-02
    3   0.628E-03   0.178E-02   0.386E-03
    4   0.530E-03   0.275E-03   0.559E-03

*******   STEP  59      *** NEFF=10 CALCULATION                
    1   0.170E-02   0.200E-02   0.229E-02
    2   0.139E-02   0.248E-02   0.200E-02
    3   0.626E-03   0.177E-02   0.386E-03
    4   0.527E-03   0.274E-03   0.555E-03

*******   STEP  60      *** NEFF=10 CALCULATION                
    1   0.169E-02   0.199E-02   0.228E-02
    2   0.139E-02   0.247E-02   0.199E-02
    3   0.623E-03   0.176E-02   0.387E-03
    4   0.524E-03   0.273E-03   0.551E-03

*******   STEP  61      *** NEFF=10 CALCULATION                
    1   0.168E-02   0.198E-02   0.226E-02
    2   0.138E-02   0.246E-02   0.198E-02
    3   0.621E-03   0.175E-02   0.387E-03
    4   0.521E-03   0.273E-03   0.548E-03

*******   STEP  62      *** NEFF=10 CALCULATION                
    1   0.168E-02   0.197E-02   0.225E-02
    2   0.137E-02   0.244E-02   0.197E-02
    3   0.619E-03   0.174E-02   0.387E-03
    4   0.518E-03   0.272E-03   0.544E-03

*******   STEP  63      *** NEFF=10 CALCULATION                
    1   0.167E-02   0.196E-02   0.224E-02
    2   0.137E-02   0.243E-02   0.196E-02
    3   0.616E-03   0.174E-02   0.387E-03
    4   0.515E-03   0.271E-03   0.541E-03

*******   STEP  64      *** NEFF=10 CALCULATION                
    1   0.166E-02   0.194E-02   0.223E-02
    2   0.136E-02   0.242E-02   0.195E-02
    3   0.614E-03   0.173E-02   0.387E-03
    4   0.512E-03   0.271E-03   0.537E-03

*******   STEP  65      *** NEFF=10 CALCULATION                
    1   0.166E-02   0.193E-02   0.221E-02
    2   0.136E-02   0.240E-02   0.195E-02
    3   0.611E-03   0.172E-02   0.387E-03
    4   0.509E-03   0.270E-03   0.534E-03

*******   STEP  66      *** NEFF=10 CALCULATION                
    1   0.165E-02   0.192E-02   0.220E-02
    2   0.135E-02   0.239E-02   0.194E-02
    3   0.609E-03   0.171E-02   0.388E-03
    4   0.506E-03   0.270E-03   0.530E-03

*******   STEP  67      *** NEFF=10 CALCULATION                
    1   0.164E-02   0.191E-02   0.219E-02
    2   0.135E-02   0.238E-02   0.193E-02
    3   0.607E-03   0.171E-02   0.388E-03
    4   0.503E-03   0.269E-03   0.527E-03

*******   STEP  68      *** NEFF=10 CALCULATION                
    1   0.164E-02   0.190E-02   0.218E-02
    2   0.134E-02   0.236E-02   0.192E-02
    3   0.604E-03   0.170E-02   0.388E-03
    4   0.500E-03   0.269E-03   0.524E-03

*******   STEP  69      *** NEFF=10 CALCULATION                
    1   0.163E-02   0.189E-02   0.217E-02
    2   0.134E-02   0.235E-02   0.191E-02
    3   0.602E-03   0.169E-02   0.388E-03
    4   0.497E-03   0.268E-03   0.521E-03

*******   STEP  70      *** NEFF=10 CALCULATION                
    1   0.162E-02   0.188E-02   0.216E-02
    2   0.133E-02   0.234E-02   0.190E-02
    3   0.600E-03   0.168E-02   0.388E-03
    4   0.494E-03   0.268E-03   0.517E-03

*******   STEP  71      *** NEFF=10 CALCULATION                
    1   0.162E-02   0.187E-02   0.214E-02
    2   0.133E-02   0.233E-02   0.189E-02
    3   0.597E-03   0.168E-02   0.388E-03
    4   0.492E-03   0.267E-03   0.514E-03

*******   STEP  72      *** NEFF=10 CALCULATION                
    1   0.161E-02   0.186E-02   0.213E-02
    2   0.132E-02   0.231E-02   0.188E-02
    3   0.595E-03   0.167E-02   0.388E-03
    4   0.489E-03   0.267E-03   0.511E-03

*******   STEP  73      *** NEFF=10 CALCULATION                
    1   0.161E-02   0.185E-02   0.212E-02
    2   0.132E-02   0.230E-02   0.188E-02
    3   0.593E-03   0.166E-02   0.388E-03
    4   0.486E-03   0.267E-03   0.508E-03

*******   STEP  74      *** NEFF=10 CALCULATION                
    1   0.160E-02   0.184E-02   0.211E-02
    2   0.131E-02   0.229E-02   0.187E-02
    3   0.591E-03   0.165E-02   0.388E-03
    4   0.483E-03   0.266E-03   0.505E-03

*******   STEP  75      *** NEFF=10 CALCULATION                
    1   0.159E-02   0.183E-02   0.210E-02
    2   0.130E-02   0.228E-02   0.186E-02
    3   0.589E-03   0.165E-02   0.388E-03
    4   0.481E-03   0.266E-03   0.502E-03

*******   STEP  76      *** NEFF=10 CALCULATION                
    1   0.159E-02   0.182E-02   0.209E-02
    2   0.130E-02   0.227E-02   0.185E-02
    3   0.586E-03   0.164E-02   0.388E-03
    4   0.478E-03   0.266E-03   0.499E-03

*******   STEP  77      *** NEFF=10 CALCULATION                
    1   0.158E-02   0.181E-02   0.208E-02
    2   0.129E-02   0.226E-02   0.184E-02
    3   0.584E-03   0.163E-02   0.388E-03
    4   0.475E-03   0.266E-03   0.496E-03

*******   STEP  78      *** NEFF=10 CALCULATION                
    1   0.158E-02   0.180E-02   0.207E-02
    2   0.129E-02   0.224E-02   0.183E-02
    3   0.582E-03   0.163E-02   0.388E-03
    4   0.473E-03   0.266E-03   0.493E-03

*******   STEP  79      *** NEFF=10 CALCULATION                
    1   0.157E-02   0.179E-02   0.206E-02
    2   0.128E-02   0.223E-02   0.183E-02
    3   0.580E-03   0.162E-02   0.388E-03
    4   0.470E-03   0.265E-03   0.490E-03

*******   STEP  80      *** NEFF=10 CALCULATION                
    1   0.157E-02   0.178E-02   0.205E-02
    2   0.128E-02   0.222E-02   0.182E-02
    3   0.578E-03   0.161E-02   0.387E-03
    4   0.467E-03   0.265E-03   0.487E-03

*******   STEP  81      *** NEFF=10 CALCULATION                
    1   0.156E-02   0.177E-02   0.204E-02
    2   0.127E-02   0.221E-02   0.181E-02
    3   0.576E-03   0.161E-02   0.387E-03
    4   0.465E-03   0.265E-03   0.484E-03

*******   STEP  82      *** NEFF=10 CALCULATION                
    1   0.155E-02   0.176E-02   0.203E-02
    2   0.127E-02   0.220E-02   0.180E-02
    3   0.574E-03   0.160E-02   0.387E-03
    4   0.462E-03   0.265E-03   0.482E-03

*******   STEP  83      *** NEFF=10 CALCULATION                
    1   0.155E-02   0.175E-02   0.202E-02
    2   0.126E-02   0.219E-02   0.179E-02
    3   0.572E-03   0.159E-02   0.387E-03
    4   0.460E-03   0.265E-03   0.479E-03

*******   STEP  84      *** NEFF=10 CALCULATION                
    1   0.154E-02   0.174E-02   0.201E-02
    2   0.126E-02   0.218E-02   0.179E-02
    3   0.570E-03   0.159E-02   0.387E-03
    4   0.457E-03   0.265E-03   0.476E-03

*******   STEP  85      *** NEFF=10 CALCULATION                
    1   0.154E-02   0.173E-02   0.200E-02
    2   0.126E-02   0.217E-02   0.178E-02
    3   0.568E-03   0.158E-02   0.387E-03
    4   0.455E-03   0.265E-03   0.473E-03

*******   STEP  86      *** NEFF=10 CALCULATION                
    1   0.153E-02   0.173E-02   0.199E-02
    2   0.125E-02   0.216E-02   0.177E-02
    3   0.566E-03   0.157E-02   0.387E-03
    4   0.453E-03   0.266E-03   0.471E-03

*******   STEP  87      *** NEFF=10 CALCULATION                
    1   0.153E-02   0.172E-02   0.198E-02
    2   0.125E-02   0.215E-02   0.176E-02
    3   0.564E-03   0.157E-02   0.386E-03
    4   0.450E-03   0.266E-03   0.468E-03

*******   STEP  88      *** NEFF=10 CALCULATION                
    1   0.152E-02   0.171E-02   0.197E-02
    2   0.124E-02   0.214E-02   0.176E-02
    3   0.562E-03   0.156E-02   0.386E-03
    4   0.448E-03   0.266E-03   0.466E-03

*******   STEP  89      *** NEFF=10 CALCULATION                
    1   0.152E-02   0.170E-02   0.196E-02
    2   0.124E-02   0.213E-02   0.175E-02
    3   0.560E-03   0.155E-02   0.386E-03
    4   0.445E-03   0.266E-03   0.463E-03

*******   STEP  90      *** NEFF=10 CALCULATION                
    1   0.151E-02   0.169E-02   0.195E-02
    2   0.123E-02   0.212E-02   0.174E-02
    3   0.558E-03   0.155E-02   0.386E-03
    4   0.443E-03   0.266E-03   0.460E-03

*******   STEP  91      *** NEFF=10 CALCULATION                
    1   0.151E-02   0.168E-02   0.194E-02
    2   0.123E-02   0.211E-02   0.173E-02
    3   0.556E-03   0.154E-02   0.386E-03
    4   0.441E-03   0.266E-03   0.458E-03
