    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.130     0.110     0.091     0.081     0.146     0.244     0.227     0.169     0.149     0.278
     0.002     0.131     0.110     0.090     0.080     0.148     0.245     0.221     0.170     0.149     0.276
     0.004     0.131     0.110     0.090     0.080     0.148     0.245     0.220     0.170     0.149     0.277
     0.006     0.132     0.109     0.090     0.080     0.148     0.245     0.219     0.169     0.149     0.277
     0.008     0.132     0.109     0.090     0.080     0.149     0.245     0.218     0.169     0.149     0.277
     0.010     0.132     0.108     0.090     0.080     0.149     0.246     0.217     0.169     0.149     0.277
     0.012     0.133     0.108     0.090     0.080     0.150     0.246     0.216     0.169     0.149     0.277
     0.014     0.133     0.107     0.090     0.080     0.150     0.246     0.215     0.169     0.149     0.278
     0.016     0.133     0.107     0.090     0.080     0.150     0.246     0.214     0.169     0.149     0.278
     0.018     0.134     0.107     0.090     0.080     0.151     0.247     0.213     0.169     0.148     0.278
     0.020     0.134     0.106     0.090     0.080     0.151     0.247     0.212     0.169     0.148     0.278
     0.022     0.135     0.106     0.090     0.080     0.152     0.247     0.211     0.169     0.148     0.278
     0.024     0.135     0.105     0.090     0.080     0.152     0.247     0.210     0.169     0.148     0.279
     0.026     0.135     0.105     0.090     0.080     0.152     0.247     0.209     0.168     0.148     0.279
     0.028     0.136     0.104     0.090     0.080     0.153     0.248     0.209     0.168     0.148     0.279
     0.030     0.136     0.104     0.090     0.080     0.153     0.248     0.208     0.168     0.148     0.279
     0.032     0.136     0.104     0.089     0.080     0.154     0.248     0.207     0.168     0.148     0.279
     0.034     0.137     0.103     0.089     0.080     0.154     0.248     0.206     0.168     0.148     0.280
     0.036     0.137     0.103     0.089     0.080     0.155     0.249     0.205     0.168     0.147     0.280
     0.038     0.138     0.102     0.089     0.080     0.155     0.249     0.204     0.168     0.147     0.280
     0.040     0.138     0.102     0.089     0.080     0.155     0.249     0.203     0.168     0.147     0.280
     0.042     0.138     0.101     0.089     0.079     0.156     0.249     0.202     0.168     0.147     0.280
     0.044     0.139     0.101     0.089     0.079     0.156     0.249     0.201     0.168     0.147     0.281
     0.046     0.139     0.101     0.089     0.079     0.157     0.250     0.201     0.167     0.147     0.281
     0.048     0.139     0.100     0.089     0.079     0.157     0.250     0.200     0.167     0.147     0.281
     0.050     0.140     0.100     0.089     0.079     0.157     0.250     0.199     0.167     0.147     0.281
     0.052     0.140     0.100     0.089     0.079     0.158     0.250     0.198     0.167     0.146     0.281
     0.054     0.141     0.099     0.089     0.079     0.158     0.250     0.197     0.167     0.146     0.282
     0.056     0.141     0.099     0.089     0.079     0.159     0.251     0.196     0.167     0.146     0.282
     0.058     0.141     0.098     0.089     0.079     0.159     0.251     0.196     0.167     0.146     0.282
     0.060     0.142     0.098     0.089     0.079     0.159     0.251     0.195     0.167     0.146     0.282
     0.062     0.142     0.098     0.089     0.079     0.160     0.251     0.194     0.167     0.146     0.282
     0.064     0.143     0.097     0.089     0.079     0.160     0.251     0.193     0.166     0.146     0.283
     0.066     0.143     0.097     0.089     0.079     0.161     0.252     0.192     0.166     0.146     0.283
     0.068     0.143     0.097     0.089     0.079     0.161     0.252     0.192     0.166     0.146     0.283
     0.070     0.144     0.096     0.089     0.079     0.161     0.252     0.191     0.166     0.145     0.283
     0.072     0.144     0.096     0.089     0.079     0.162     0.252     0.190     0.166     0.145     0.283
